📶央视专区,#genre#
//http://8.138.7.223/51.txt
CCTV1,http://39.134.64.87:6610/PLTV/88888888/224/3221226016/index.m3u8?IASHttpSessionId=
CCTV1,http://39.134.64.87:6610/PLTV/88888888/224/3221226559/index.m3u8?IASHttpSessionId=
CCTV2,http://39.134.64.87:6610/PLTV/88888888/224/3221225588/index.m3u8?IASHttpSessionId=
CCTV3,http://39.134.64.87:6610/PLTV/88888888/224/3221226021/index.m3u8?IASHttpSessionId=
CCTV4,http://39.134.64.87:6610/PLTV/88888888/224/3221226428/index.m3u8?IASHttpSessionId=
CCTV5,http://39.134.64.87:6610/PLTV/88888888/224/3221226019/index.m3u8?IASHttpSessionId=
CCTV6,http://39.134.64.87:6610/PLTV/88888888/224/3221226010/index.m3u8?IASHttpSessionId=
CCTV7,http://39.134.64.87:6610/PLTV/88888888/224/3221225733/index.m3u8?IASHttpSessionId=
CCTV8,http://39.134.64.87:6610/PLTV/88888888/224/3221226008/index.m3u8?IASHttpSessionId=
CCTV9,http://39.134.64.87:6610/PLTV/88888888/224/3221225734/index.m3u8?IASHttpSessionId=
CCTV10,http://39.134.64.87:6610/PLTV/88888888/224/3221226473/index.m3u8?IASHttpSessionId=
CCTV10,http://39.134.64.87:6610/PLTV/88888888/224/3221225730/index.m3u8?IASHttpSessionId=
CCTV11,http://39.134.64.87:6610/PLTV/88888888/224/3221226565/index.m3u8?IASHttpSessionId=
CCTV11,http://39.134.64.87:6610/PLTV/88888888/224/3221225597/index.m3u8?IASHttpSessionId=
CCTV12,http://39.134.64.87:6610/PLTV/88888888/224/3221225731/index.m3u8?IASHttpSessionId=
CCTV12,http://39.134.64.87:6610/PLTV/88888888/224/3221226568/index.m3u8?IASHttpSessionId=
CCTV13,http://39.134.64.87:6610/PLTV/88888888/224/3221226011/index.m3u8?IASHttpSessionId=
CCTV13,http://39.134.64.87:6610/PLTV/88888888/224/3221226537/index.m3u8?IASHttpSessionId=
CCTV13,http://39.134.64.87:6610/PLTV/88888888/224/3221226571/index.m3u8?IASHttpSessionId=
CCTV14,http://39.134.64.87:6610/PLTV/88888888/224/3221226591/index.m3u8?IASHttpSessionId=
CCTV14,http://39.134.64.87:6610/PLTV/88888888/224/3221225732/index.m3u8?IASHttpSessionId=
CCTV15,http://39.134.64.87:6610/PLTV/88888888/224/3221226476/index.m3u8?IASHttpSessionId=
CCTV15,http://39.134.64.87:6610/PLTV/88888888/224/3221225601/index.m3u8?IASHttpSessionId=
CCTV16,http://39.134.64.87:6610/PLTV/88888888/224/3221226100/index.m3u8?IASHttpSessionId=
CCTV17,http://39.134.64.87:6610/PLTV/88888888/224/3221225765/index.m3u8?IASHttpSessionId=
CETV1,http://39.134.64.87:6610/PLTV/88888888/224/3221225652/index.m3u8?IASHttpSessionId=
CETV2,http://39.134.64.87:6610/PLTV/88888888/224/3221226425/index.m3u8?IASHttpSessionId=
CETV4,http://39.134.64.87:6610/PLTV/88888888/224/3221225783/index.m3u8?IASHttpSessionId=

河北联通组播1
//http://150.158.112.123/live.txt
CCTV1,http://121.29.169.110:7777/rtp/239.253.92.83:8012$河北组播
CCTV2,http://121.29.169.110:7777/rtp/239.253.92.190:6065$河北组播
CCTV3,http://121.29.169.110:7777/rtp/239.253.92.191:6057$河北组播
CCTV4,http://121.29.169.110:7777/rtp/239.253.92.251:6141$河北组播
CCTV5,http://121.29.169.110:7777/rtp/239.253.92.181:6046$河北组播
CCTV6,http://121.29.169.110:7777/rtp/239.253.92.193:6058$河北组播
CCTV7,http://121.29.169.110:7777/rtp/239.253.92.194:6059$河北组播
CCTV8,http://121.29.169.110:7777/rtp/239.253.92.195:6060$河北组播
CCTV9,http://121.29.169.110:7777/rtp/239.253.92.107:6020$河北组播
CCTV10,http://121.29.169.110:7777/rtp/239.253.92.196:6061$河北组播
CCTV11,http://121.29.169.110:7777/rtp/239.253.93.153:6321$河北组播
CCTV12,http://121.29.169.110:7777/rtp/239.253.92.197:6062$河北组播
CCTV13,http://121.29.169.110:7777/rtp/239.253.92.13:8008$河北组播
CCTV14,http://121.29.169.110:7777/rtp/239.253.92.198:6063$河北组播
CCTV15,http://121.29.169.110:7777/rtp/239.253.93.154:6322$河北组播
CCTV17,http://121.29.169.110:7777/rtp/239.253.93.150:6318$河北组播
CCTV5+,http://121.29.169.110:7777/rtp/239.253.92.82:8013$河北组播

