歌华有线,#genre#
CCTV1,http://tv.sillypig.fun:5678/ghyx.php?id=CCTV1HD_6000
CCTV2,http://tv.sillypig.fun:5678/ghyx.php?id=CCTV2HD_6000
CCTV3,http://tv.sillypig.fun:5678/ghyx.php?id=CCTV3HD_6000
CCTV4,http://tv.sillypig.fun:5678/ghyx.php?id=CCTV4HD_6000
CCTV5,http://tv.sillypig.fun:5678/ghyx.php?id=CCTV5HD_6000
CCTV5+,http://tv.sillypig.fun:5678/ghyx.php?id=CCTV5plusHD_6000
CCTV6,http://tv.sillypig.fun:5678/ghyx.php?id=CCTV6HD_6000
CCTV7,http://tv.sillypig.fun:5678/ghyx.php?id=CCTV7HD_6000
CCTV8,http://tv.sillypig.fun:5678/ghyx.php?id=CCTV8HD_6000
CCTV9,http://tv.sillypig.fun:5678/ghyx.php?id=CCTV9HD_6000
CCTV10,http://tv.sillypig.fun:5678/ghyx.php?id=CCTV10HD_6000
CCTV11,http://tv.sillypig.fun:5678/ghyx.php?id=CCTV11HD_2000
CCTV12,http://tv.sillypig.fun:5678/ghyx.php?id=CCTV12HD_6000
CCTV13,http://tv.sillypig.fun:5678/ghyx.php?id=CCTV13HD_2000
CCTV14,http://tv.sillypig.fun:5678/ghyx.php?id=CCTV14HD_6000
CCTV15,http://tv.sillypig.fun:5678/ghyx.php?id=CCTV15HD_6000
CCTV16,http://tv.sillypig.fun:5678/ghyx.php?id=CCTV16HD_6000
CCTV17,http://tv.sillypig.fun:5678/ghyx.php?id=CCTV17HD_6000
歌华导视,http://tv.sillypig.fun:5678/ghyx.php?id=GeHuadaoshiHD_6000
CHC家庭影院,http://tv.sillypig.fun:5678/ghyx.php?id=CHCHD_2000
CHC高清电影,http://tv.sillypig.fun:5678/ghyx.php?id=CHCHD2_6000
CHC动作电影,http://tv.sillypig.fun:5678/ghyx.php?id=MotionHD_2000
都市剧场,http://tv.sillypig.fun:5678/ghyx.php?id=DuShiJuChangHD_6000
劲爆体育,http://tv.sillypig.fun:5678/ghyx.php?id=JinBaoTiYuHD_6000
浙江卫视,http://tv.sillypig.fun:5678/ghyx.php?id=ZheJiangHD_6000
北京卫视,http://tv.sillypig.fun:5678/ghyx.php?id=BTV1HD_6000
广西卫视,http://tv.sillypig.fun:5678/ghyx.php?id=GuangXiHD_6000
辽宁卫视,http://tv.sillypig.fun:5678/ghyx.php?id=LiaoNingHD_6000
安徽卫视,http://tv.sillypig.fun:5678/ghyx.php?id=AnHuiHD_6000
江苏卫视,http://tv.sillypig.fun:5678/ghyx.php?id=JiangSuHD_6000
东方卫视,http://tv.sillypig.fun:5678/ghyx.php?id=DongFangHD_6000
东南卫视,http://tv.sillypig.fun:5678/ghyx.php?id=FuJianHD_6000
湖南卫视,http://tv.sillypig.fun:5678/ghyx.php?id=HuNanHD_6000
湖北卫视,http://tv.sillypig.fun:5678/ghyx.php?id=HuBeiHD_6000
广东卫视,http://tv.sillypig.fun:5678/ghyx.php?id=GuangDongHD_6000
广西卫视,http://tv.sillypig.fun:5678/ghyx.php?id=GuangXiHD_6000
深圳卫视,http://tv.sillypig.fun:5678/ghyx.php?id=ShenZhenHD_6000
四川卫视,http://tv.sillypig.fun:5678/ghyx.php?id=SiChuanHD_6000
山东卫视,http://tv.sillypig.fun:5678/ghyx.php?id=ShanDongHD_6000
