📶央卫频道,#genre#
CCTV1,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009
CCTV2,http://38.75.136.137:98/gslb/dsdqca/cctv2hd.m3u8?auth=test20251009
CCTV3,http://38.75.136.137:98/gslb/dsdqca/cctv3hd.m3u8?auth=test20251009
CCTV4,http://38.75.136.137:98/gslb/dsdqca/cctv4hd.m3u8?auth=test20251009
CCTV5,http://38.75.136.137:98/gslb/dsdqca/cctv5hd.m3u8?auth=test20251009
CCTV6,http://38.75.136.137:98/gslb/dsdqca/cctv6hd.m3u8?auth=test20251009
CCTV7,http://38.75.136.137:98/gslb/dsdqca/cctv7hd.m3u8?auth=test20251009
CCTV8,http://38.75.136.137:98/gslb/dsdqca/cctv8hd.m3u8?auth=test20251009
CCTV9,http://38.75.136.137:98/gslb/dsdqca/cctv9hd.m3u8?auth=test20251009
CCTV10,http://38.75.136.137:98/gslb/dsdqbv/cctv10hd.m3u8?auth=test20251009
CCTV11,http://38.75.136.137:98/gslb/dsdqbv/cctv11hd.m3u8?auth=test20251009
CCTV12,http://38.75.136.137:98/gslb/dsdqbv/cctv12hd.m3u8?auth=test20251009
CCTV13,http://38.75.136.137:98/gslb/dsdqbv/cctv13hd.m3u8?auth=test20251009
CCTV14,http://38.75.136.137:98/gslb/dsdqbv/cctv14hd.m3u8?auth=test20251009
CCTV15,http://38.75.136.137:98/gslb/dsdqbv/cctv15hd.m3u8?auth=test20251009
CCTV16,http://38.75.136.137:98/gslb/dsdqbv/cctv16hd.m3u8?auth=test20251009
CCTV17,http://38.75.136.137:98/gslb/dsdqbv/cctv17hd.m3u8?auth=test20251009

CCTV1,http://69.30.245.50/live/cctv1.m3u8
CCTV2,http://69.30.245.50/live/cctv2.m3u8
CCTV3,http://69.30.245.50/live/cctv3.m3u8
CCTV4,http://69.30.245.50/live/cctv4.m3u8
CCTV5,http://69.30.245.50/live/cctv5.m3u8
CCTV6,http://69.30.245.50/live/cctv6.m3u8
CCTV7,http://69.30.245.50/live/cctv7.m3u8
CCTV8,http://69.30.245.50/live/cctv8.m3u8
CCTV9,http://69.30.245.50/live/cctv9.m3u8
CCTV10,http://69.30.245.50/live/cctv10.m3u8
CCTV11,http://69.30.245.50/live/cctv11.m3u8
CCTV12,http://69.30.245.50/live/cctv12.m3u8
CCTV13,http://69.30.245.50/live/cctv13.m3u8
CCTV14,http://69.30.245.50/live/cctv14.m3u8
CCTV15,http://69.30.245.50/live/cctv15.m3u8
CCTV16,http://69.30.245.50/live/cctv16.m3u8

CCTV1,http://74.91.26.218:82/live/cctv1hd.m3u8
CCTV2,http://74.91.26.218:82/live/cctv2hd.m3u8
CCTV3,http://74.91.26.218:82/live/cctv3hd.m3u8
CCTV4,http://74.91.26.218:82/live/cctv4hd.m3u8
CCTV5,http://74.91.26.218:82/live/cctv5hd.m3u8
CCTV6,http://74.91.26.218:82/live/cctv6hd.m3u8
CCTV7,http://74.91.26.218:82/live/cctv7hd.m3u8
CCTV8,http://74.91.26.218:82/live/cctv8hd.m3u8
CCTV9,http://74.91.26.218:82/live/cctv9hd.m3u8
CCTV10,http://74.91.26.218:82/live/cctv10hd.m3u8
CCTV11,http://74.91.26.218:82/live/cctv11hd.m3u8
CCTV12,http://74.91.26.218:82/live/cctv12hd.m3u8
CCTV13,http://74.91.26.218:82/live/cctv13hd.m3u8
CCTV14,http://74.91.26.218:82/live/cctv14hd.m3u8
CCTV15,http://74.91.26.218:82/live/cctv15hd.m3u8
CCTV16,http://74.91.26.218:82/live/cctv16hd.m3u8
CCTV17,http://74.91.26.218:82/live/cctv17hd.m3u8

CCTV1,http://69.30.245.50/live/cctv1.m3u8
CCTV2,http://69.30.245.50/live/cctv2.m3u8
CCTV3,http://69.30.245.50/live/cctv3.m3u8
CCTV4,http://69.30.245.50/live/cctv4.m3u8
CCTV5,http://69.30.245.50/live/cctv5.m3u8
CCTV6,http://69.30.245.50/live/cctv6.m3u8
CCTV7,http://69.30.245.50/live/cctv7.m3u8
CCTV8,http://69.30.245.50/live/cctv8.m3u8
CCTV9,http://69.30.245.50/live/cctv9.m3u8
CCTV10,http://69.30.245.50/live/cctv10.m3u8
CCTV11,http://69.30.245.50/live/cctv11.m3u8
CCTV12,http://69.30.245.50/live/cctv12.m3u8
CCTV13,http://69.30.245.50/live/cctv13.m3u8
CCTV14,http://69.30.245.50/live/cctv14.m3u8
CCTV15,http://69.30.245.50/live/cctv15.m3u8
CCTV16,http://69.30.245.50/live/cctv16.m3u8
CCTV17,http://69.30.245.50/live/cctv17.m3u8

CCTV1,http://198.204.240.250:82/live/cctv1.m3u8
CCTV2,http://198.204.240.250:82/live/cctv2.m3u8
CCTV3,http://198.204.240.250:82/live/cctv3.m3u8
CCTV4,http://198.204.240.250:82/live/cctv4.m3u8
CCTV5,http://198.204.240.250:82/live/cctv5.m3u8
CCTV6,http://198.204.240.250:82/live/cctv6.m3u8
CCTV7,http://198.204.240.250:82/live/cctv7.m3u8
CCTV8,http://198.204.240.250:82/live/cctv8.m3u8
CCTV9,http://198.204.240.250:82/live/cctv9.m3u8
CCTV10,http://198.204.240.250:82/live/cctv10.m3u8
CCTV11,http://198.204.240.250:82/live/cctv11.m3u8
CCTV12,http://198.204.240.250:82/live/cctv12.m3u8
CCTV13,http://198.204.240.250:82/live/cctv13.m3u8
CCTV14,http://198.204.240.250:82/live/cctv14.m3u8
CCTV15,http://198.204.240.250:82/live/cctv15.m3u8
CCTV16,http://198.204.240.250:82/live/cctv16.m3u8
CCTV17,http://198.204.240.250:82/live/cctv17.m3u8

CCTV1,http://74.91.26.218:82/live/cctv1hd.m3u8
CCTV2,http://74.91.26.218:82/live/cctv2hd.m3u8
CCTV3,http://74.91.26.218:82/live/cctv3hd.m3u8
CCTV4,http://74.91.26.218:82/live/cctv4hd.m3u8
CCTV5,http://74.91.26.218:82/live/cctv5hd.m3u8
CCTV6,http://74.91.26.218:82/live/cctv6hd.m3u8
CCTV7,http://74.91.26.218:82/live/cctv7hd.m3u8
CCTV8,http://74.91.26.218:82/live/cctv8hd.m3u8
CCTV9,http://74.91.26.218:82/live/cctv9hd.m3u8
CCTV10,http://74.91.26.218:82/live/cctv10hd.m3u8
CCTV11,http://74.91.26.218:82/live/cctv11hd.m3u8
CCTV12,http://74.91.26.218:82/live/cctv12hd.m3u8
CCTV13,http://go.bkpcp.top/mg/cctv13
CCTV13,http://74.91.26.218:82/live/cctv13hd.m3u8
CCTV14,http://74.91.26.218:82/live/cctv14hd.m3u8
CCTV15,http://74.91.26.218:82/live/cctv15hd.m3u8
CCTV16,http://74.91.26.218:82/live/cctv16hd.m3u8
CCTV17,http://74.91.26.218:82/live/cctv17hd.m3u8


CCTV3,http://39.134.67.108/PLTV/88888888/224/3221225799/1.m3u8
CCTV4,http://39.134.67.108/PLTV/88888888/224/3221225797/1.m3u8
CCTV5,http://39.134.67.108/PLTV/88888888/224/3221225818/1.m3u8
CCTV5+,http://39.134.67.108/PLTV/88888888/224/3221225507/1.m3u8
CCTV6,http://39.134.67.108/PLTV/88888888/224/3221225814/1.m3u8
CCTV7,http://39.134.67.108/PLTV/88888888/224/3221225671/1.m3u8
CCTV8,http://39.134.67.108/PLTV/88888888/224/3221225795/1.m3u8
CCTV9,http://39.134.67.108/PLTV/88888888/224/3221225676/1.m3u8
CCTV10,http://39.134.67.108/PLTV/88888888/224/3221225677/1.m3u8
CCTV11,http://39.134.67.108/PLTV/88888888/224/3221225517/1.m3u8
CCTV12,http://39.134.67.108/PLTV/88888888/224/3221225669/1.m3u8
CCTV13,http://39.134.67.108/PLTV/88888888/224/3221225812/1.m3u8
CCTV14,http://39.134.67.108/PLTV/88888888/224/3221225674/1.m3u8
CCTV15,http://39.134.67.108/PLTV/88888888/224/3221225513/1.m3u8
CCTV16,http://39.134.67.108/PLTV/88888888/224/3221225893/1.m3u8
CCTV17,http://39.134.67.108/PLTV/88888888/224/3221225708/1.m3u8


🇨🇳卫视频道,#genre#
浙江卫视,http://198.204.240.250:82/live/zjws.m3u8
黑龙江卫视,http://198.204.240.250:82/live/hljws.m3u8
深圳卫视,http://198.204.240.250:82/live/szws.m3u8
安徽卫视,http://198.204.240.250:82/live/ahws.m3u8
北京卫视,http://198.204.240.250:82/live/bjws.m3u8
江西卫视,http://198.204.240.250:82/live/jxws.m3u8
江苏卫视,http://198.204.240.250:82/live/jsws.m3u8
东方卫视,http://198.204.240.250:82/live/dfws.m3u8
东南卫视,http://198.204.240.250:82/live/dnws.m3u8
湖南卫视,http://198.204.240.250:82/live/hnws.m3u8
西藏卫视,http://198.204.240.250:82/live/xzws.m3u8
山东卫视,http://198.204.240.250:82/live/sdws.m3u8
河北卫视,http://198.204.240.250:82/live/hbws.m3u8
重庆卫视,http://198.204.240.250:82/live/cqws.m3u8
广东卫视,http://198.204.240.250:82/live/gdws.m3u8
四川卫视,http://198.204.240.250:82/live/scws.m3u8
天津卫视,http://198.204.240.250:82/live/tjws.m3u8
贵州卫视,http://198.204.240.250:82/live/gzws.m3u8
湖北卫视,http://198.204.240.250:82/live/hbws.m3u8
山西卫视,http://198.204.240.250:82/live/sxws.m3u8
吉林卫视,http://198.204.240.250:82/live/jlws.m3u8
海南卫视,http://198.204.240.250:82/live/hainws.m3u8
广西卫视,http://198.204.240.250:82/live/gxws.m3u8
甘肃卫视,http://198.204.240.250:82/live/gsws.m3u8
📶浙江频道,#genre#
//http://120.76.248.139/udp/txiptv_iplist.php?deviceId=acb70fbea957a476a53837ea7956257e
//http://120.76.248.139/udp/txiptv_chlist_zdy.php?deviceId=acb70fbea957a476a53837ea7956257e&ip=101.66.198.95:9901
CCTV1-综合,http://101.66.198.95:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2-财经,http://101.66.198.95:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3-综艺,http://101.66.198.95:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4-国际,http://101.66.198.95:9901http://101.71.255.235:6610/010/2/20002000000000010000000002765807/index.m3u8?AuthInfo=hn5cwagvRygW0L3%2F4exSAVVW2NTWpi6Kv17NvVkALOY28kG1d6E5wRHMtFGkFRSov6bonfP%2B02KRC3XfYdV%2BddlsMiU76bF1Tbh0JdAOKAM%3D&version=v1.0&BreakPoint=0&virtualDomain=010.live_hls.zte.com&programid=ch00000000000000001358&boid=001&contentid=ch00000000000000001358&stbid=00000433002605A00007CC62FE0BB59A&terminalflag=1&videoid=ch00000090990000001350&userid=057101004690&recommendtype=0&IASHttpSessionId=RR2199020231011082231833457
CCTV5-体育,http://101.66.198.95:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6-电影,http://101.66.198.95:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
