浙江地方,#genre#
浙江卫视,http://pan.sertraline.eu.org:8888/udp/239.93.20.215:9762
浙江卫视,http://116.77.32.59:8277/streams/d/zjws/playlist.m3u8
浙江卫视,http://112.31.66.18:9090/live/ZJWS-HD/ZJWS-HD.m3u8
浙江卫视,http://39.134.65.249/PLTV/88888888/224/3221225514/1.m3u8$移动IPTV4M_1080P
浙江卫视,http://39.134.65.251/PLTV/88888888/224/3221225514/1.m3u8$移动IPTV4M_1080P
浙江卫视,http://39.134.65.194/PLTV/88888888/224/3221225514/1.m3u8$移动IPTV4M_1080P
浙江卫视,http://39.134.67.108/PLTV/88888888/224/3221225959/1.m3u8$移动IPTV8M_1080P
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8$移动IPTV8M_1080P
浙江卫视,http://39.134.184.90:8089/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236237/index.m3u8$移动IPTV8M_1080P
浙江卫视,http://39.134.65.209/PLTV/88888888/224/3221225514/1.m3u8$移动IPTV4M_1080P
浙江卫视,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236269/index.m3u8
浙江卫视,http://171.34.76.62:808/hls/27/index.m3u8
浙江卫视,http://60.223.72.176:8004/udp/226.0.2.144:9064

钱江都市,http://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
钱江都市,http://ali-m-l.cztv.com/channels/lantian/channel02/720p.m3u8?zzhed
钱江都市,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8

经济生活,http://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
经济生活,http://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8?zzhed
经济生活,http://ali-m-l.cztv.com/channels/lantian/channel03/720p.m3u8?zzhed
经济生活,http://ali-m-l.cztv.com/channels/lantian/channel17/1080p.m3u8

教科影院,http://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
教科影院,http://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8?zzhed
教科影院,http://ali-m-l.cztv.com/channels/lantian/channel04/720p.m3u8?zzhed

影视娱乐,http://ali-m-l.cztv.com/channels/lantian/channel005/1080p.m3u8
影视娱乐,http://ali-m-l.cztv.com/channels/lantian/channel05/1080p.m3u8
影视娱乐,http://ali-m-l.cztv.com/channels/lantian/channel005/1080p.m3u8
影视娱乐,http://ali-m-l.cztv.com/channels/lantian/channel05/1080p.m3u8

民生休闲,http://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
民生休闲,http://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8?zzhed
民生休闲,http://ali-m-l.cztv.com/channels/lantian/channel06/720p.m3u8?zzhed
民生休闲,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8

公共新闻,http://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
公共新闻,http://ali-m-l.cztv.com/channels/lantian/channel07/1080p.m3u8
公共新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8

浙江少儿,http://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江少儿,http://ali-m-l.cztv.com/channels/lantian/channel08/1080p.m3u8
浙江少儿,http://ali-m-l.cztv.com/channels/lantian/channel08/720p.m3u8

浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
之江记录,http://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8?zzhed
之江记录,http://ali-m-l.cztv.com/channels/lantian/channel12/720p.m3u8?zzhed
之江记录,http://ali-m-l.cztv.com/channels/lantian/channel12/360p.m3u8?zzhed

衢州综合,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221235441/1/index.m3u8?fmt=ts2hls$8M_1080
衢州综合,http://39.134.184.90:8089/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221235441/1/index.m3u8?fmt=ts2hls
衢州综合,http://183.133.104.139:8899/udp/233.50.202.11:5140
衢州综合,http://183.133.104.164:8899/udp/233.50.202.11:5140
衢州综合,https://recordcdn.quklive.com/broadcast/activity/1676023284535369/record.m3u8
衢州公共,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221235443/1/index.m3u8?fmt=ts2hls$8M_1080

衢化综合,
衢化公园,
衢江综合,http://l.cztvcloud.com/channels/lantian/SXqujiang1/720p.m3u8
衢江综合,http://play-sh13.quklive.com/live/1700720505174325.m3u8?auth_key=2027466026-7724b0f948044faa9f0b8d0ecfc275fc-0-dfc23fb7449b475a18a52dc4b796516e
衢江综合,http://play-sh13.quklive.com/live/1700720505174325.m3u8?auth_key=1734407364-7867806e497949bcaca7fdbe574513e4-0-8c624f9f02bc9dc2073d419647aef8d5


常山新闻,http://play-sh13.quklive.com/live/1621306190044902.m3u8?auth_key=2037583656-ef3f13ea492449d08f0141857ddc37a9-0-9da99e30ae70e3d5f90d3d18c43e4f0a
常山新闻,http://play-sh13.quklive.com/live/1621306190044902.m3u8?auth_key=2039564859-cb8fffa2c8664b8cb3a9b91957f5c170-0-43e3810f59815a25003cf1afa55dff9f
常山新闻,http://play-sh13.quklive.com/live/1621306190044902.flv?auth_key=2049769512-c15adc44884b46428e0ad60c4c19f5c3-0-1b0feaf35377e944af820b623ad9b67a
