电信测试,#genre#
CCTV1,http://58.55.56.159:808/hls/1/index.m3u8
CCTV14,http://58.55.56.159:808/hls/14/index.m3u8
CCTV15,http://58.55.56.159:808/hls/15/index.m3u8
湖南纪实,http://58.55.56.159:808/hls/50/index.m3u8
金鹰卡通,http://58.55.56.159:808/hls/51/index.m3u8
北京卫视,http://58.55.56.159:808/hls/55/index.m3u8
湖北影视,http://58.55.56.159:808/hls/68/index.m3u8
凤凰中文HD,http://120.238.85.131:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰卫视,http://183.239.226.235:9901/tsfile/live/0108_1.m3u8?key=txiptv&playlive=1&authid=0
翡翠台,http://183.239.226.235:9901/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://183.239.226.235:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0

安徽联通,#genre#
CCTV-1HD,http://112.123.206.32:808/hls/1/index.m3u8
CCTV-2HD,http://112.123.206.32:808/hls/2/index.m3u8
CCTV-3HD,http://112.123.206.32:808/hls/3/index.m3u8
CCTV-4HD,http://112.123.206.32:808/hls/4/index.m3u8
CCTV-5HD,http://112.123.206.32:808/hls/5/index.m3u8
CCTV-5+HD,http://112.123.206.32:808/hls/6/index.m3u8
CCTV-6HD,http://112.123.206.32:808/hls/7/index.m3u8
CCTV-7HD,http://112.123.206.32:808/hls/8/index.m3u8
CCTV-8HD,http://112.123.206.32:808/hls/9/index.m3u8
CCTV-9HD,http://112.123.206.32:808/hls/10/index.m3u8
CCTV-10HD,http://112.123.206.32:808/hls/11/index.m3u8
CCTV-11HD,http://112.123.206.32:808/hls/12/index.m3u8
CCTV-12HD,http://112.123.206.32:808/hls/13/index.m3u8
CCTV-13HD,http://112.123.206.32:808/hls/14/index.m3u8
CCTV-14HD,http://112.123.206.32:808/hls/15/index.m3u8
CCTV-15HD,http://112.123.206.32:808/hls/16/index.m3u8

江苏卫视HD,http://112.123.206.32:808/hls/17/index.m3u8
河北卫视HD,http://112.123.206.32:808/hls/18/index.m3u8
浙江卫视HD,http://112.123.206.32:808/hls/19/index.m3u8
青海卫视http://112.123.206.32:808/hls/20/index.m3u8
湖北卫视HD,http://112.123.206.32:808/hls/21/index.m3u8
湖南卫视HD,http://112.123.206.32:808/hls/22/index.m3u8
东方卫视HD,http://112.123.206.32:808/hls/23/index.m3u8
北京卫视HD,http://112.123.206.32:808/hls/24/index.m3u8
天津卫视HD,http://112.123.206.32:808/hls/25/index.m3u8
山东卫视HD,http://112.123.206.32:808/hls/27/index.m3u8
广东卫视HD,http://112.123.206.32:808/hls/28/index.m3u8
