🇨🇳经典频道,#genre#
游戏风云,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000011000031114
哒啵电竞,http://php.jdshipin.com:8880/itv6.php?cid=ystenlive&id=1000000006000032327
哒啵赛事,http://php.jdshipin.com:8880/itv6.php?cid=ystenlive&id=1000000001000003775
劲爆体育,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000002000029972
五星体育,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000010000017540
睛彩竞技,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000003000000060
睛彩篮球,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000003000000061
超级体育,http://php.jdshipin.com:8880/itv6.php?cid=ystenlive&id=1000000001000009601
超级体育,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000003000000030
魅力足球,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000011000031207
五星体育,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000010000017540
金鹰纪实,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000011000031203
快乐垂钓,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000011000031206
求索动物,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000009
求索纪录,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000010
求索科学,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000011
求索生活,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000008
法治天地,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000002000000014
金色学堂,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000010000026105
七彩戏剧,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000011000031116
第一财经,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000010000027146
纪实人文,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000004000010282
中国天气,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000005000031974
乐游,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000011000031112
动漫秀场,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000011000031113
华数4K,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000014
欢笑剧场,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000002000009455
爱情喜剧,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000003000000010
生活时尚,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000002000019634
睛彩广场舞,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000003000000062
睛彩青少,http://php.jdshipin.com:8880/itv6.php?cid=ystenlive&id=1000000006000270007
纪实科教,http://php.jdshipin.com:8880/itv6.php?cid=ystenlive&id=1000000001000001910
纯享4K,http://php.jdshipin.com:8880/itv6.php?cid=ystenlive&id=1000000004000011651
茶频道,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000011000031209
🇨🇳经典频道01,#genre#
超级电视剧,http://php.jdshipin.com:8880/itv6.php?cid=ystenlive&id=1000000004000024993
都市剧场,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000011000031111
CCTV1,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000001000004953
CCTV1,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000004000002226
CCTV1,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000010000030810
CCTV1,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000011000265001
CCTV1,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000002000000052
CCTV1,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=5510876839019192947
CCTV1,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=9198071806334826260
CCTV1,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5068253659616166748
CCTV1,http://php.jdshipin.com:8880/itv6.php?cid=wasusyt&id=6000000001000029752
CCTV1,http://php.jdshipin.com:8880/itv6.php?cid=ystenlive&id=1000000001000018602
CCTV1,http://php.jdshipin.com:8880/itv6.php?cid=ystenlive&id=1000000001000021973
CCTV1,http://php.jdshipin.com:8880/itv6.php?cid=ystenlive&id=1000000005000265001
CCTV1,http://php.jdshipin.com:8880/itv6.php?cid=ystenlive&id=reallive-cctv1
CCTV1,http://php.jdshipin.com:8880/itv6.php?cid=ystenlive&id=reallive-hdcctv1
CCTV2,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000005000031113
CCTV2,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000011000031101
CCTV2,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=7501364488890008391
CCTV2,http://php.jdshipin.com:8880/itv6.php?cid=wasusyt&id=6000000001000014161
